date,close
2008-08-04,2687.550
2008-08-05,2582.160
2008-08-06,2590.760
2008-08-07,2592.370
2008-08-08,2455.950
2008-08-11,2326.840
2008-08-12,2360.440
2008-08-13,2376.100
2008-08-14,2375.970
2008-08-15,2368.550
2008-08-18,2228.150
2008-08-19,2262.470
2008-08-20,2418.710
2008-08-21,2318.930
2008-08-22,2273.840
2008-08-25,2254.340
2008-08-26,2167.120
2008-08-27,2157.400
2008-08-28,2173.050
2008-08-29,2233.280
2008-09-01,2177.140
2008-09-02,2172.640
2008-09-03,2142.430
2008-09-04,2152.820
2008-09-05,2088.460
2008-09-08,2018.230
2008-09-09,2042.640
2008-09-10,2051.700
2008-09-11,2011.460
2008-09-12,2024.080
2008-09-16,1997.320
2008-09-17,1959.530
2008-09-18,1914.640
2008-09-19,2079.880
2008-09-22,2163.630
2008-09-23,2072.690
2008-09-24,2094.090
2008-09-25,2175.200
2008-09-26,2203.040
2008-10-06,2080.210
2008-10-07,2053.110
2008-10-08,2005.100
2008-10-09,1969.520
2008-10-10,1875.450
2008-10-13,1911.660
2008-10-14,1867.380
2008-10-15,1839.040
2008-10-16,1750.460
2008-10-17,1774.740
2008-10-20,1828.090
2008-10-21,1817.940
2008-10-22,1775.590
2008-10-23,1783.390
2008-10-24,1748.090
2008-10-27,1629.950
2008-10-28,1665.350
2008-10-29,1621.550
2008-10-30,1651.190
2008-10-31,1615.560
2008-11-03,1596.100
2008-11-04,1568.820
2008-11-05,1618.690
2008-11-06,1603.550
2008-11-07,1617.390
2008-11-10,1722.400
2008-11-11,1717.480
2008-11-12,1730.100
2008-11-13,1810.390
2008-11-14,1872.430
2008-11-17,1922.540
2008-11-18,1776.570
2008-11-19,1875.000
2008-11-20,1851.810
2008-11-21,1839.840
2008-11-24,1775.120
2008-11-25,1766.740
2008-11-26,1791.660
2008-11-27,1821.410
2008-11-28,1798.440
2008-12-01,1827.940
2008-12-02,1837.740
2008-12-03,1919.000
2008-12-04,1943.790
2008-12-05,1969.900
2008-12-08,2039.210
2008-12-09,2004.640
2008-12-10,2028.440
2008-12-11,1981.510
2008-12-12,1902.680
2008-12-15,1924.410
2008-12-16,1947.670
2008-12-17,1961.410
2008-12-18,1988.210
2008-12-19,2001.140
2008-12-22,1973.230
2008-12-23,1876.420
2008-12-24,1838.650
2008-12-25,1823.210
2008-12-26,1804.810
2008-12-29,1783.930
2008-12-30,1746.510
2008-12-31,1711.020
2009-01-05,1776.050
2009-01-06,1833.280
2009-01-07,1821.680
2009-01-08,1784.420
2009-01-09,1822.570
2009-01-12,1838.330
2009-01-13,1797.300
2009-01-14,1867.070
2009-01-15,1861.710
2009-01-16,1885.970
2009-01-19,1895.270
2009-01-20,1908.310
2009-01-21,1896.280
2009-01-22,1924.440
2009-01-23,1918.790
2009-02-02,1957.420
2009-02-03,2012.170
2009-02-04,2061.960
2009-02-05,2055.040
2009-02-06,2143.170
2009-02-09,2227.320
2009-02-10,2279.730
2009-02-11,2269.860
2009-02-12,2250.850
2009-02-13,2328.570
2009-02-16,2404.270
2009-02-17,2320.760
2009-02-18,2206.940
2009-02-19,2255.840
2009-02-20,2330.670
2009-02-23,2386.710
2009-02-24,2291.960
2009-02-25,2277.210
2009-02-26,2137.430
2009-02-27,2038.240
2009-03-02,2068.410
2009-03-03,2069.970
2009-03-04,2205.130
2009-03-05,2220.920
2009-03-06,2196.220
2009-03-09,2107.410
2009-03-10,2147.550
2009-03-11,2135.670
2009-03-12,2133.840
2009-03-13,2111.700
2009-03-16,2140.610
2009-03-17,2222.980
2009-03-18,2255.130
2009-03-19,2309.850
2009-03-20,2337.320
2009-03-23,2392.710
