date,close
2009-01-05,190.2500
2009-01-06,184.6100
2009-01-07,187.6300
2009-01-08,184.7900
2009-01-09,186.9400
2009-01-12,185.8200
2009-01-13,179.2000
2009-01-14,180.9000
2009-01-15,177.4800
2009-01-16,180.4100
2009-01-19,184.1200
2009-01-20,181.6500
2009-01-21,186.4300
2009-01-22,186.6100
2009-01-23,187.5100
2009-02-02,198.4600
2009-02-03,197.3100
2009-02-04,196.8500
2009-02-05,198.7500
2009-02-06,200.3100
2009-02-09,198.3300
2009-02-10,195.9900
2009-02-11,199.5800
2009-02-12,205.5400
2009-02-13,206.0800
2009-02-16,205.5200
2009-02-17,210.8300
2009-02-18,213.5900
2009-02-19,214.0100
2009-02-20,214.4000
2009-02-23,216.5000
2009-02-24,216.8000
2009-02-25,209.6300
2009-02-26,208.2300
2009-02-27,206.4800
2009-03-02,209.3100
2009-03-03,203.9600
2009-03-04,201.4800
2009-03-05,202.5000
2009-03-06,207.7300
2009-03-09,206.0600
2009-03-10,201.5800
2009-03-11,198.4900
2009-03-12,201.7900
2009-03-13,202.7500
2009-03-16,203.6300
2009-03-17,202.0100
2009-03-18,200.5700
2009-03-19,205.2800
2009-03-20,210.4100
2009-03-23,211.4300
2009-03-24,206.9600
2009-03-25,204.4000
2009-03-26,206.3500
2009-03-27,205.6200
2009-03-30,204.1500
2009-03-31,202.4900
2009-04-01,202.1300
2009-04-02,202.8500
2009-04-03,198.9400
2009-04-07,193.4000
2009-04-08,195.5300
2009-04-09,193.7600
2009-04-10,194.5900
2009-04-13,195.7800
2009-04-14,197.9500
2009-04-15,196.3000
2009-04-16,196.7700
2009-04-17,192.4200
2009-04-20,191.3000
2009-04-21,196.6400
2009-04-22,195.3100
2009-04-23,196.7000
2009-04-24,201.1500
2009-04-27,201.4300
2009-04-28,197.4200
2009-04-29,197.2000
2009-04-30,198.1800
2009-05-04,197.3100
2009-05-05,199.2200
2009-05-06,198.9900
2009-05-07,201.3300
2009-05-08,201.7500
2009-05-11,201.8300
2009-05-12,200.7300
2009-05-13,203.9600
2009-05-14,202.7200
2009-05-15,203.2300
2009-05-18,204.5300
2009-05-19,202.4400
2009-05-20,203.7300
2009-05-21,206.8500
2009-05-22,208.3900
2009-05-25,208.8000
2009-05-26,208.0200
2009-05-27,207.9800
2009-06-01,215.0200
2009-06-02,212.1500
2009-06-03,216.1800
2009-06-04,211.9600
2009-06-05,214.3200
2009-06-08,209.4200
2009-06-09,209.1200
2009-06-10,209.8400
2009-06-11,209.4800
2009-06-12,208.9200
2009-06-15,204.8700
2009-06-16,205.3400
2009-06-17,206.3000
2009-06-18,206.4300
2009-06-19,205.0400
2009-06-22,205.0000
2009-06-23,201.6000
2009-06-24,203.9000
2009-06-25,205.4800
2009-06-26,207.1100
2009-06-29,205.9200
2009-06-30,207.3700
2009-07-01,204.4500
2009-07-02,206.0600
2009-07-03,205.1400
2009-07-06,203.4100
2009-07-07,203.1600
2009-07-08,202.8500
2009-07-09,201.0600
2009-07-10,200.5500
2009-07-13,200.1000
2009-07-14,202.3500
2009-07-15,204.0900
2009-07-16,205.3200
2009-07-17,205.3400
2009-07-20,207.5400
2009-07-21,207.7700
2009-07-22,207.9400
2009-07-23,209.1700
2009-07-24,208.0500
2009-07-27,210.0800
2009-07-28,209.5800
2009-07-29,204.9000
2009-07-30,204.5000
2009-07-31,205.9300
2009-08-03,209.4100
2009-08-04,209.6700
2009-08-05,211.3800
2009-08-06,211.5700
2009-08-07,210.5500
2009-08-10,209.7800
2009-08-11,208.3500
2009-08-12,207.1500
2009-08-13,209.5800
2009-08-14,209.9000
2009-08-17,207.1800
2009-08-18,206.5000
2009-08-19,205.5400
2009-08-20,207.5100
2009-08-21,206.5200
2009-08-24,209.7700
2009-08-25,207.6500
2009-08-26,208.2600
2009-08-27,208.0000
2009-08-28,208.8000
2009-08-31,209.2900
2009-09-01,209.7200
2009-09-02,210.0000
2009-09-03,215.5700
2009-09-04,217.3900
2009-09-07,218.9000
2009-09-08,222.8000
2009-09-09,220.6500
2009-09-10,219.4700
2009-09-11,220.2700
2009-09-14,219.5700
2009-09-15,219.2700
2009-09-16,225.2400
2009-09-17,225.9600
2009-09-18,223.1000
2009-09-21,221.1000
2009-09-22,223.3000
2009-09-23,223.1300
2009-09-24,223.5100
2009-09-25,218.9000
2009-09-28,216.8300
2009-09-29,217.7700
2009-09-30,218.7000
2009-10-09,228.9500
2009-10-12,229.7500
2009-10-13,231.5900
2009-10-14,233.8500
2009-10-15,231.8500
2009-10-16,230.3800
2009-10-19,231.7000
2009-10-20,234.5900
2009-10-21,232.2200
2009-10-22,231.8500
2009-10-23,233.2000
2009-10-26,231.9800
2009-10-27,229.3700
2009-10-28,229.0000
2009-10-29,227.5000
2009-10-30,230.6800
2009-11-02,230.7100
2009-11-03,233.8600
2009-11-04,238.0600
