asset,total_return,cagr,maxdd,calmar,sharpe,n_trades,W,d,p,avg_hold
ndx,2.922020916808933,0.11615162524278366,-0.1581788325810315,0.7343057433634919,0.866138243764217,129,1,0.02,0.02,4.108527131782946
ndx,1.5235935930959457,0.07727293161055493,-0.17682620497337875,0.43699932157786453,0.5608644907540548,74,1,0.02,0.04,10.662162162162161
ndx,1.2128874593283228,0.06595196811781823,-0.23992652668978554,0.2748840198194976,0.46707036718672085,52,1,0.02,0.06,22.096153846153847
ndx,2.049904769539193,0.09380699484937272,-0.2514889881169208,0.37300637118059626,0.6030788065390649,43,1,0.02,0.08,32.883720930232556
ndx,1.9049267196230377,0.08953194913916884,-0.35366805956248504,0.25315248781562816,0.5667082594499705,34,1,0.02,0.1,47.60606060606061
ndx,2.439944672291906,0.104442872806634,-0.3233291892529736,0.32302333435450403,0.6241253255059477,31,1,0.02,0.12000000000000001,58.93333333333333
ndx,2.891959783903514,0.11546129713875275,-0.30328404944373133,0.3807034934759219,0.6678961572247591,27,1,0.02,0.13999999999999999,74.73076923076923
ndx,2.5976535553262887,0.10843093688737881,-0.2790101222034824,0.38862725133785647,0.628251267377669,22,1,0.02,0.16,96.0
ndx,3.4464630834680907,0.12747219362802964,-0.32858616617848724,0.38794144960681953,0.7093641494293371,20,1,0.02,0.18,114.05263157894737
ndx,3.527321253436847,0.12910717240196035,-0.3285861661784871,0.39291724877982137,0.7118177792397635,18,1,0.02,0.19999999999999998,134.11764705882354
ndx,4.03445090877568,0.13878794919265225,-0.32858616617848724,0.42237916101818773,0.7509367211481941,16,1,0.02,0.22,158.86666666666667
ndx,4.513323189717874,0.14713858260228996,-0.35563125770672777,0.4137391734098586,0.7817200998765204,15,1,0.02,0.24,178.14285714285714
ndx,4.467904126203569,0.14637581406071098,-0.35563125770672777,0.41159434354732727,0.7750512576533557,14,1,0.02,0.26,190.0
ndx,5.0166879533524416,0.15522587336619287,-0.35563125770672777,0.43647983691636094,0.8074697779652111,13,1,0.02,0.28,211.58333333333334
ndx,4.412983415040133,0.14544565370247708,-0.35563125770672777,0.4089788244159888,0.7633509158249309,12,1,0.02,0.30000000000000004,231.1818181818182
ndx,5.022107126916085,0.15530950377868025,-0.3556312577067279,0.43671499738292574,0.8063532194382883,12,1,0.02,0.32,228.54545454545453
ndx,5.1184163151603865,0.15678434874266411,-0.35563125770672777,0.44086211587159396,0.8064034733427644,10,1,0.02,0.34,271.6666666666667
ndx,4.6917765066836665,0.150080628018179,-0.35563125770672777,0.4220119147736541,0.7789467490710384,10,1,0.02,0.36000000000000004,272.6666666666667
ndx,5.11760957296726,0.1567720835032258,-0.35563125770672777,0.44082762722873,0.8039915772407428,9,1,0.02,0.38,319.375
ndx,5.801054545031961,0.16666493373967706,-0.35563125770672777,0.46864534578430594,0.8432924862523705,9,1,0.02,0.4,327.125
ndx,2.3153387219876493,0.10117115967201085,-0.12406122654489882,0.8154937887495102,0.9229631386131499,75,1,0.04,0.02,3.2266666666666666
ndx,1.9559922214991246,0.09105968649899765,-0.12406122654489882,0.733989893821035,0.7692349661942377,50,1,0.04,0.04,7.16
ndx,2.080733003566613,0.09469189548449797,-0.1816669097666842,0.5212390941537525,0.718722176704357,40,1,0.04,0.06,13.15
ndx,2.9477656363828717,0.11673897358218621,-0.1883537383447471,0.6197858062605418,0.837363252728332,34,1,0.04,0.08,20.852941176470587
ndx,2.642002851083147,0.1095234542060588,-0.29110309925180367,0.3762359606873206,0.7413742403933125,29,1,0.04,0.1,33.07142857142857
ndx,2.907681917437565,0.11582295162824319,-0.2578274249596507,0.4492266547919375,0.7506965596065157,26,1,0.04,0.12000000000000001,42.4
ndx,3.4674646300516523,0.12789946385914996,-0.24175680527377608,0.5290418348898637,0.7900609844657931,23,1,0.04,0.13999999999999999,55.5
ndx,2.8902158619513543,0.11542109915704812,-0.2739768001429579,0.4212805576852593,0.7002331556221799,19,1,0.04,0.16,80.27777777777777
ndx,3.2532309167313116,0.12345142829866895,-0.32858616617848724,0.37570488658859247,0.7294799442064416,17,1,0.04,0.18,99.375
ndx,3.5912298082991194,0.13038053403220262,-0.3285861661784871,0.396792523399723,0.7536578092696892,16,1,0.04,0.19999999999999998,113.66666666666667
ndx,3.668306405554236,0.1318947585224819,-0.3285861661784871,0.4014008260190632,0.7539662821383467,14,1,0.04,0.22,138.46153846153845
ndx,3.9795485582044767,0.13778432599917334,-0.35563125770672777,0.3874359269982886,0.7743762484101128,13,1,0.04,0.24,161.41666666666666
ndx,5.268319755860522,0.15903797850055934,-0.35563125770672777,0.44719910034373417,0.8597446765509469,13,1,0.04,0.26,176.0
ndx,6.103469076517982,0.1707533261429255,-0.3556312577067279,0.4801415017454332,0.9041557506443844,12,1,0.04,0.28,199.0909090909091
ndx,4.925481827804787,0.15380785785499262,-0.35563125770672777,0.43249251724051396,0.8231854264050438,11,1,0.04,0.30000000000000004,222.6
ndx,5.964582581622612,0.16889598193216981,-0.35563125770672777,0.4749188331230724,0.8827280621739658,11,1,0.04,0.32,235.9
ndx,5.752398410465984,0.16599158221614374,-0.35563125770672777,0.46675194775209866,0.8575820034381826,9,1,0.04,0.34,285.875
ndx,5.104906542074939,0.15657875764701812,-0.35563125770672777,0.4402840140000888,0.8209577454154169,9,1,0.04,0.36000000000000004,279.5
ndx,4.4790994086525915,0.14656436739674628,-0.35563125770672777,0.412124536920236,0.7764633828236706,8,1,0.04,0.38,311.0
ndx,4.989799398951057,0.1548098933566473,-0.3556312577067279,0.43531014218191033,0.8105176015353434,8,1,0.04,0.4,318.2857142857143
ndx,1.1664907528088282,0.06413732927471227,-0.10954972750236536,0.5854631566594033,0.7296067244678798,35,1,0.06,0.02,2.7142857142857144
ndx,1.3669894491988912,0.07173777027855066,-0.10954972750236525,0.6548420695706596,0.7388103937251238,29,1,0.06,0.04,5.551724137931035
ndx,0.8885607854630404,0.05245432182967069,-0.15760308021566138,0.33282548639210024,0.5073694141049462,22,1,0.06,0.06,9.954545454545455
ndx,1.0216474789578123,0.05823297847754749,-0.1883537383447471,0.30916815874905895,0.5178387414569864,19,1,0.06,0.08,17.473684210526315
ndx,0.6699828079564891,0.042096460681704695,-0.23906814943280164,0.1760856089846354,0.37109884222704403,16,1,0.06,0.1,29.933333333333334
ndx,0.7936025081597475,0.048097593965710894,-0.21845223687987525,0.22017441731283022,0.3993365080843221,15,1,0.06,0.12000000000000001,38.07142857142857
ndx,0.7903943491960046,0.04794672830991176,-0.21845223687987525,0.21948380568095163,0.38280198896315687,13,1,0.06,0.13999999999999999,53.25
ndx,1.2594880083128435,0.06773969677462821,-0.21845223687987514,0.31008927966197775,0.4879425955420163,13,1,0.06,0.16,74.41666666666667
ndx,1.1493658437393952,0.06345850992446267,-0.2698116321141786,0.23519560453052807,0.45598430804854245,11,1,0.06,0.18,100.2
ndx,1.4853430046200304,0.07595074830223525,-0.26981163211417847,0.2814954555780402,0.5200547895646267,11,1,0.06,0.19999999999999998,112.2
ndx,1.683585367893793,0.08261073898721216,-0.2698116321141786,0.30617930865283466,0.5527152448269512,10,1,0.06,0.22,134.77777777777777
ndx,1.6197863729789543,0.08051823378841005,-0.2992242093468044,0.2690899709090332,0.5335104007280056,9,1,0.06,0.24,170.5
ndx,1.7438146040390436,0.08454459809839987,-0.2992242093468044,0.28254598210137366,0.550006543172838,8,1,0.06,0.26,210.28571428571428
